fecha,zona_residencia,zona_pernoctacion,personas
20230701,41024,1402105,5534
20230701,4105301,4106901,5281
20230701,4105803,4100401,2373
20230701,41070,41019,2328
20230701,41070,41036,1382
20230701,41086,41021,2433
20230701,4109103,0905906,3252
20230701,4109103,41019,26111
20230701,4109104,2905103,22611
20230701,4109108,1402106,24780
20230701,4109108,29075,13633
20230701,4109402,42025_AM,2394
20230701,4109502,4109504,7523
20230701,42094_AM,28177,1833
20230701,4217301,19053_AM,2697
20230701,4217302,2906702,2246
20230701,43004,08016_AM,2637
20230701,43013,22053_AM,3225
20230701,43043_AM,43094_AM,3565
20230701,43055_AM,0801507,5464
20230701,43060_AM,08268_AM,5032
20230701,43060_AM,43038_AM,43507
20230701,43078_AM,43104,1866
20230701,43090_AM,49193_AM,2130
20230701,43093,1707903,2703
20230701,43126_AM,43092,5276
20230701,4313301,07014,2894
20230701,4314804,43037,18575
20230701,43153,22084_AM,6630
20230701,4316303,07037,2734
20230701,43904,43904,3960767
20230701,43905,2807906,4001
20230701,44013,1716004,14667
20230701,44050_AM,46160_AM,1000
20230701,45023_AM,2807401,3296
20230701,45037_AM,0401306,1483
20230701,45054,2807917,12536
20230701,45064,41064,2236
20230701,45082_AM,10105_AM,17009
20230701,45102,11016,1824
20230701,45119,2816102,7425
20230701,45121_AM,0306507,37169
20230701,45123,1212603,1945
20230701,45132_AM,13054,7642
20230701,45137_AM,45132_AM,3565
20230701,4514201,1613302,2174
20230701,4514203,03118,1746
20230701,45145,45064,2622
20230701,45156,19053_AM,2659
20230701,45156,45121_AM,1664
20230701,45156,4613104,13144
20230701,45157,28106,1613
20230701,4516501,0404902,3746
20230701,4516805,1814005,8263
20230701,4516805,49151_AM,2486
20230701,45197,45106,3576
20230701,4600501,2807901,4460
20230701,46039,4625011,1968
20230701,46110,4314805,7158
20230701,46111,46194,11268
20230701,4613105,18056,2539
20230701,46135,0301803,2313
20230701,46135,2805805,2852
20230701,4614702,0705401,2785
20230701,4615902,4625013,12968
20230701,46169,1204005,6619
20230701,4618403,0305905,3484
20230701,46190,24166_AM,2334
20230701,46190,46009,7890
20230701,46194,4613103,6165
20230701,46195_AM,46048,2381
20230701,4622007,45180,2815
20230701,46233,0313303,1669
20230701,4623502,43013,4665
20230701,4625003,44209_AM,3236
20230701,4625005,5029707,2659
20230701,4625006,03069,5901
20230701,4625006,0704004,12722
20230701,4625007,1808708_AD,13222
20230701,4625007,46249,90022
20230701,4625012,35030,2462
20230701,4625014,18162_AM,2229
20230701,46256,4625012,8392
20230701,47090,3727404,4494
20230701,47155,4718610,16350
20230701,4718603,44153,5538
20230701,4718605,4716502,22579
20230701,4718606,42069_AM,2719
20230701,4718609,3906001,2738
20230701,4718610,1808708_AD,5473
20230701,4718611,20013,2940
20230701,4718611,3605709,7225
20230701,4718611,4717501,87412
20230701,4718612,29070,2372
20230701,48003,4806901,16507
20230701,4801102,48019_AM,6674
20230701,4801303,40141_AM,7277
20230701,48015,07033,7036
20230701,4801703,0303102,20291
20230701,4802002,29041,3999
20230701,4802004,2807906,9863
20230701,4802005,48003,8138
20230701,4802007,11901,3837
20230701,4802704,31138_AM,5872
20230701,48029,3902003,28960
20230701,48034,2006906,14160
20230701,48040_AM,0303103,3462
20230701,48060_AM,26102,1977
20230701,4807804,11039,2654
20230701,4890202,39102,4201
20230701,48910_AM,3908501,2564
20230701,49081_AM,2809203,1237
20230701,49127,1101505,9026
20230701,49187_AM,2422201,1741
20230701,49261_AM,4927502,13620
20230701,4927503,4718604,9101
20230701,50038_AM,22059_AM,9161
20230701,50074,44246_AM,6986
20230701,50163_AM,12138,20287
20230701,50208_AM,22213_AM,5262
20230701,5029705,0704004,3538
20230701,5029705,0827901,4494
20230701,5029706,12028,13284
20230701,5029710,0303103,11892
20230701,5029710,1103202,7151
20230701,5200103,2807911,3640
20230701,5200107,06901,13778
20230701,5200108,0820004,4276
